longitude,latitude,co2
85,-35,408.449
85,-25,408.52
85,-15,407.682
85,-5,408.658
85,5,408.489
85,15,407.911
85,25,405.971
85,35,407.457
85,45,405.453
85,55,404.411
85,65,400.536
95,-45,408.369
95,-35,408.437
95,-25,408.612
95,-15,408.657
95,-5,408.611
95,5,409.062
95,25,406.303
95,35,406.691
95,45,405.615
95,55,404.741
95,65,401.148
95,75,401.981
105,-55,409.166
105,-45,408.312
105,-35,408.567
105,-25,408.862
105,-15,408.715
105,-5,409.513
105,5,409.17
105,15,409.2
105,25,407.004
105,35,406.731
105,45,404.053
105,55,403.402
105,65,402.112
105,75,402.478
115,-45,408.088
115,-35,408.341
115,-25,408.004
115,-15,408.97
115,-5,409.088
115,5,408.944
115,15,407.562
115,25,406.703
115,35,404.804
115,45,403.329
115,55,403.588
115,65,403.534
125,-45,408.018
125,-35,408.318
125,-25,408.169
125,-15,408.817
125,-5,408.747
125,5,408.38
125,15,407.896
125,25,407.962
125,35,404.725
125,45,403.206
125,55,403.072
125,65,402.846
135,-45,406.685
135,-35,408.213
135,-25,407.755
135,-15,408.457
135,-5,408.491
135,5,408.583
135,15,407.722
135,25,407.926
135,35,406.963
135,45,404.493
135,55,404.086
145,-55,409.02
145,-45,407.429
145,-35,407.191
145,-25,407.909
145,-15,408.617
145,-5,408.631
145,5,408.345
145,15,407.87
145,25,407.55
145,35,407.562
145,45,403.762
145,55,405.603
145,65,404.968
155,-45,408.197
155,-35,408.26
155,-25,408.378
155,-15,408.503
155,-5,408.549
155,5,408.545
155,15,408.118
155,25,407.467
155,35,406.127
155,45,403.857
155,55,405.911
155,65,405.534
165,-45,408.085
165,-35,408.538
165,-25,408.726
165,-15,408.432
165,-5,408.578
165,5,408.721
165,15,408.063
165,25,407.496
165,35,405.966
165,45,404.453
165,55,406.357
165,65,404.893
175,-55,407.276
175,-45,407.734
175,-35,408.133
175,-25,408.686
175,-15,408.506
175,-5,408.564
175,5,408.605
175,15,407.999
175,25,407.865
175,35,405.988
175,45,405.411
175,55,404.72
175,65,403.423
