latitude,longitude,index
-34,-68,0.258
-34,-67,0.341
-34,-66,0.29
-34,-65,0.353
-34,-64,0.384
-34,-63,0.443
-34,-62,0.431
-34,-61,0.494
-34,-60,0.577
-34,-58,0.676
-34,-57,0.565
-34,-56,0.609
-34,-55,0.538
-34,19,0.526
-34,20,0.353
-34,21,0.215
-34,22,0.207
-34,23,0.274
-34,24,0.227
-34,25,0.195
-34,26,0.451
-34,27,0.51
-34,116,0.691
-34,117,0.62
-34,118,0.731
-34,119,0.494
-34,120,0.593
-34,121,0.475
-34,122,0.581
-34,123,0.66
-34,124,0.278
-34,136,0.483
-34,137,0.581
-34,139,0.569
-34,140,0.152
-34,141,0.321
-34,142,0.156
-34,143,0.207
-34,144,0.329
-34,145,0.164
-34,146,0.392
-34,147,0.345
-34,148,0.357
-34,149,0.585
-34,150,0.459
-34,151,0.758
-33,-71,0.152
-33,-70,0.124
-33,-69,0.124
-33,-68,0.18
-33,-67,0.29
-33,-66,0.329
-33,-65,0.282
-33,-64,0.479
-33,-63,0.459
-33,-62,0.506
-33,-61,0.372
-33,-60,0.569
-33,-59,0.719
-33,-58,0.672
-33,-57,0.605
-33,-56,0.605
-33,-55,0.636
-33,-54,0.601
-33,-53,0.557
-33,19,0.294
-33,20,0.148
-33,21,0.278
-33,22,0.109
-33,23,0.101
-33,24,0.136
-33,25,0.172
-33,26,0.246
-33,27,0.321
-33,28,0.325
-33,117,0.664
-33,118,0.707
-33,119,0.408
-33,120,0.396
-33,121,0.195
-33,122,0.183
-33,123,0.494
-33,124,0.372
-33,125,0.274
-33,135,0.589
-33,136,0.353
-33,137,0.223
-33,138,0.219
-33,139,0.317
-33,140,0.136
-33,141,0.124
-33,142,0.152
-33,143,0.203
-33,144,0.27
-33,145,0.302
-33,146,0.313
-33,147,0.254
-33,148,0.365
-33,149,0.309
-33,150,0.369
-33,151,0.613
-33,152,0.581
-32,-72,0.235
-32,-71,0.101
-32,-70,0.101
-32,-69,0.215
-32,-68,0.176
-32,-67,0.306
-32,-66,0.302
-32,-65,0.38
-32,-64,0.447
-32,-63,0.435
-32,-62,0.506
-32,-61,0.546
-32,-60,0.557
-32,-59,0.561
-32,-58,0.597
-32,-57,0.636
-32,-56,0.617
-32,-55,0.585
-32,-54,0.624
-32,-53,0.723
-32,19,0.187
-32,20,0.195
-32,21,0.113
-32,22,0.124
-32,23,0.152
-32,24,0.148
-32,25,0.156
-32,26,0.219
-32,27,0.223
-32,28,0.278
-32,29,0.333
-32,30,0.557
-32,117,0.743
-32,118,0.624
-32,119,0.439
-32,120,0.384
-32,121,0.365
-32,122,0.443
-32,123,0.258
-32,124,0.376
-32,125,0.243
-32,126,0.168
-32,127,0.176
-32,128,0.168
-32,129,0.187
-32,130,0.309
-32,131,0.262
-32,132,0.325
-32,133,0.239
-32,134,0.219
-32,135,0.235
-32,136,0.183
-32,137,0.148
-32,138,0.152
-32,139,0.412
-32,140,0.136
-32,141,0.144
-32,142,0.14
-32,143,0.183
-32,144,0.172
-32,145,0.266
-32,146,0.286
-32,147,0.223
-32,148,0.199
-32,149,0.286
-32,150,0.388
-32,151,0.416
-32,152,0.672
-32,153,0.51
-31,-72,0.258
-31,-71,0.085
-31,-70,0.148
-31,-69,0.109
-31,-68,0.219
-31,-67,0.286
-31,-66,0.38
-31,-65,0.345
-31,-64,0.447
-31,-62,0.506
-31,-61,0.506
-31,-60,0.605
-31,-59,0.577
-31,-58,0.632
-31,-57,0.581
-31,-56,0.597
-31,-55,0.644
-31,-54,0.636
-31,-53,0.68
-31,-52,0.652
-31,-51,0.585
-31,18,0.231
-31,19,0.191
-31,20,0.085
-31,21,0.085
-31,22,0.089
-31,23,0.144
-31,24,0.152
-31,25,0.195
-31,26,0.211
-31,27,0.246
-31,28,0.317
-31,29,0.286
-31,30,0.313
-31,31,0.53
-31,116,0.557
-31,117,0.538
-31,118,0.329
-31,119,0.325
-31,120,0.298
-31,121,0.302
-31,122,0.203
-31,123,0.191
-31,124,0.215
-31,125,0.294
-31,126,0.168
-31,127,0.148
-31,128,0.156
-31,129,0.164
-31,130,0.16
-31,131,0.172
-31,132,0.164
-31,133,0.235
-31,134,0.191
-31,135,0.164
-31,136,0.164
-31,137,0.164
-31,138,0.073
-31,139,0.128
-31,140,0.128
-31,141,0.156
-31,142,0.172
-31,143,0.124
-31,144,0.176
-31,145,0.239
-31,146,0.278
-31,147,0.282
-31,148,0.199
-31,149,0.262
-31,150,0.514
-31,151,0.38
-31,152,0.341
-31,153,0.857
-30,-71,0.101
-30,-70,0.057
-30,-69,0.128
-30,-68,0.266
-30,-67,0.274
-30,-66,0.353
-30,-65,0.203
-30,-64,0.376
-30,-63,0.424
-30,-62,0.522
-30,-61,0.589
-30,-60,0.502
-30,-59,0.498
-30,-58,0.522
-30,-57,0.561
-30,-56,0.605
-30,-55,0.691
-30,-54,0.683
-30,-53,0.75
-30,-52,0.754
-30,-51,0.833
-30,18,0.207
-30,19,0.148
-30,20,0.128
-30,21,0.109
-30,22,0.144
-30,23,0.16
-30,24,0.195
-30,25,0.187
-30,26,0.219
-30,27,0.25
-30,28,0.25
-30,29,0.278
-30,30,0.341
-30,31,0.451
-30,116,0.431
-30,117,0.286
-30,118,0.156
-30,119,0.294
-30,120,0.207
-30,121,0.262
-30,122,0.239
-30,123,0.239
-30,124,0.227
-30,125,0.144
-30,126,0.172
-30,127,0.223
-30,128,0.258
-30,129,0.215
-30,130,0.254
-30,131,0.168
-30,132,0.164
-30,133,0.156
-30,134,0.152
-30,135,0.164
-30,136,0.077
-30,137,0.113
-30,138,0.097
-30,139,0.117
-30,140,0.113
-30,141,0.136
-30,142,0.12
-30,143,0.136
-30,144,0.187
-30,145,0.258
-30,146,0.294
-30,147,0.227
-30,148,0.18
-30,149,0.262
-30,150,0.187
-30,151,0.298
-30,152,0.396
-30,153,0.719
-29,-71,0.132
-29,-70,0.073
-29,-69,0.14
-29,-68,0.109
